2020-02-12 18:26:09.550 INFO  singlejartest.Main - Connecting...
2020-02-12 18:26:10.023 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - environment(jnlp.client.mode)=DEMO, platformInstanceId=null
2020-02-12 18:26:10.037 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 request [1287DC9881D1B2AE81D95D1B2337B239909EC8BA]
2020-02-12 18:26:10.038 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&passus=1&sermo=45fc4206-4dec-4336-9771-44e0e163476e&putent_genus=0&appello=1287DC9881D1B2AE81D95D1B2337B239909EC8BA&obsecro_id=ae8d3387-36ff-443d-9569-904e9aab62dd&srp_versio=1]
2020-02-12 18:26:10.750 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"B":"8b5eaa94678092454f0238b91e9915db3814060c84f2e0b0b9b2a9324222a267f522b273ebb014f7deab033969d0ad77f92cefea9bdd066414202e15de6ca5ed0dd7df5993305268dce580c856fec8761bf3fa0ccab4056543ccf32d663302fe07900cec6a1e19328e32d86a456c538792e73bc5a0f93ed9bcb7758eed391537ef11f735e18ed0160ee04e8534a46c16464d2e4d94df24354b45c63d0c3dafa82e543da6ac8fcd319595ff5846bb6f03b613547fc4038b03fefead0ca711b5e0a788c43f560f92b540d99b84df597fe8746236ac67badf7690fc9771709ca7ad0de38dc321c96eafb4bc2b2225e5ede63bb295e33b82297d32011634cc1017fa","S":"5da207edad1e3bd8b38e55b675f71f66","G":"2","H":"SHA-256","K":"5b9e8ef059c6b32ea59fc1d322d37f04aa30bae5aa9003b8321e21ddb04e300","N":"ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73","srp_versio":"1"}]
2020-02-12 18:26:10.752 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 response [ServerResponseObject [passwordServerResponse=Step1ServerResponse [serverPublicValueB=8b5eaa94678092454f0238b91e9915db3814060c84f2e0b0b9b2a9324222a267f522b273ebb014f7deab033969d0ad77f92cefea9bdd066414202e15de6ca5ed0dd7df5993305268dce580c856fec8761bf3fa0ccab4056543ccf32d663302fe07900cec6a1e19328e32d86a456c538792e73bc5a0f93ed9bcb7758eed391537ef11f735e18ed0160ee04e8534a46c16464d2e4d94df24354b45c63d0c3dafa82e543da6ac8fcd319595ff5846bb6f03b613547fc4038b03fefead0ca711b5e0a788c43f560f92b540d99b84df597fe8746236ac67badf7690fc9771709ca7ad0de38dc321c96eafb4bc2b2225e5ede63bb295e33b82297d32011634cc1017fa, saltS=5da207edad1e3bd8b38e55b675f71f66, safePrimeN=ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73, correspondingGeneratorG=2, hashAlgorithmH=SHA-256, srpProtocolVersion=1], ]]
2020-02-12 18:26:10.842 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 request A [1772847614137205865980183640903480122111489928466809214346985510699552948559717190843136411830490334867127091784285223758666658849909286106582195877959826685852838707068224163178721645470791508175202222016083224456998994947579681005561474656220722885929908273781247164280566013567830846083864045484199256990028592118993631114099930528263583857317746586875049125750523448762578370399787369762470736394642184461607672167245316463302896230552844503480493596427401162921091215456168178593712199839818803284652553382359507927328866239272412330175295479106912865607866236613675564230698808467239309607174492433405901193992], M1 [7523701849806464233609541524739967491089644992975085432967994135296662097879]
2020-02-12 18:26:10.843 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&testimonium_nuntius=10a243abc5bc4ffcc6d8b2edf1cf48a3deba3500018a9a535673f31c05f4cfd7&passus=2&publicus_pendo=e0b2d300a8d8212039acafd904d8c44d2905470fd16d57ace3055c27bc14ae400a941f48a4aa066b4baaa3ed26f77ec4b557e3351921f253796b22c53d99238ad358fafa0258ab90db17c73f62031af7b536ae5a31ddc7d2c65f7cc24a6ce040d1f52c26f2a89cea9067fee5a8b70f6a672eeade7f1ed3b71d85ebfbda4a58d694e7204f7fa16aef4fd1165a4ddf2c9aa625a95ed7c19cd93abd513a25be8765cea535e44be364b5465a2c73fd40b2476195de96fd49d1f9e98521169597f689062017edcba0c1930b9b2788287d904d4c713767ab578deae5001df1692091e6085591bee98c45bee2d28883139ac77e24888ddffdf789e8135b60c2a9ec308&sermo=45fc4206-4dec-4336-9771-44e0e163476e&putent_genus=0&obsecro_id=ae8d3387-36ff-443d-9569-904e9aab62dd&srp_versio=1]
2020-02-12 18:26:11.149 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"M2":"551c14b4068cfac0270b3be2935b4eb7042585856b12a8cc86620b55edba8bae","srp_versio":"1"}]
2020-02-12 18:26:11.150 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 response [ServerResponseObject [passwordServerResponse=Step2ServerResponse [serverEvidenceMessageM2=551c14b4068cfac0270b3be2935b4eb7042585856b12a8cc86620b55edba8bae, srpProtocolVersion=1], ]]
2020-02-12 18:26:11.151 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 3 request
